TITLE: Water balance - stream discharge from Degerö catchment north-eastern Sweden
SITES STATION: Svartberget Research Station
TIME PERIOD: 2012-04-25 - 2023-11-23
TIME RESOLUTION: Daily
TIME ZONE: UTC +1
SAMPLING POINT: Degerö, C18
LATITUDE: 64.188711
LONGITUDE: 19.543273
ALTITUDE: 265.8 m a.s.l

FILE RETRIEVED FROM: https://data.fieldsites.se
DATA POLICY: SITES data is licensed under a Creative Commons Attribution 4.0 international license (http://creativecommons.org/licenses/by/4.0/).

COMMENTS: Equation: Q = A * SL^B [m3 s-1, m], for stream level data see CSV: SITES_WB-SL_SVB-DEG-C18_20090417-20231123_L2_daily.csv - https://meta.fieldsites.se/objects/zt8K4r9_Mbh8wHfcp83lvpmk
Document - Description of flume see PDF: SITES_WB-Q_SVB_DEG-C18_discharge-description_from_2012.pdf - https://meta.fieldsites.se/objects/ntI69_FEOojpTH6jml-X5tmF, Catchment area 2.729 km2

PARAMETERS AND UNITS: Q (m3 s-1)

PARAMETER AND COLUMN INFO:
TIMESTAMP - Time in [YYYY-MM-DD] UTC+1
Q - discharge (m3 s-1) daily average of 5 min sampling intervals calculated from stream level data and flume characteristics.
####
TIMESTAMP,Q
2013-07-16,0.011685798
2013-07-17,0.009378746
2013-07-18,0.008286871
2013-07-19,0.007547493
2013-07-20,0.007002652
2013-07-21,0.006507397
2013-07-22,0.005790242
2013-07-23,0.005227987
2013-07-24,0.004788869
2013-07-25,0.004383671
2013-07-26,0.004044832
2013-07-27,0.003711237
2013-07-28,0.003357685
2013-07-29,0.002796275
2013-07-30,0.002776873
2013-07-31,0.01141459
2013-08-01,0.011812526
2013-08-02,0.01510699
2013-08-03,0.013630757
2013-08-04,0.010885493
2013-08-05,0.008703921
2013-08-06,0.007042439
2013-08-07,0.006580719
2013-08-08,0.00757174
2013-08-09,0.006916094
2013-08-10,0.006790072
2013-08-11,0.006919215
2013-08-12,0.006666682
2013-08-13,0.010379745
2013-08-14,0.012639802
2013-08-15,0.014114279
2013-08-16,0.012897275
2013-08-17,0.018333673
2013-08-18,0.025554456
2013-08-19,0.031732502
2013-08-20,0.0288659
2013-08-21,0.02373991
2013-08-22,0.018916042
2013-08-23,0.01495046
2013-08-24,0.012148203
2013-08-25,0.010121529
2013-08-26,0.008644407
2013-08-27,0.007470493
2013-08-28,0.0065638
2013-08-29,0.005735055
2013-08-30,0.005088282
2013-08-31,0.004634246
2013-09-01,0.007513366
2013-09-02,0.014109398
2013-09-03,0.017606495
2013-09-04,0.020335579
2013-09-05,0.018813787
2013-09-06,0.01658427
2013-09-07,0.01422576
2013-09-08,0.012173351
2013-09-09,0.010573073
2013-09-10,0.009388781
2013-09-11,0.008538857
2013-09-12,0.007670972
2013-09-13,0.006949226
2013-09-14,0.006366863
2013-09-15,0.005895495
2013-09-16,0.005522278
2013-09-17,0.005764511
2013-09-18,0.006044757
2013-09-19,0.015021548
2013-09-20,0.03326156
2013-09-21,0.080066248
2013-09-22,0.091007104
2013-09-23,0.087804878
2013-09-24,0.076116705
2013-09-25,0.061790756
2013-09-26,0.050505531
2013-09-27,0.049273946
2013-09-28,0.048005073
2013-09-29,0.042803792
2013-09-30,0.037462519
2013-10-01,0.034848835
2013-10-02,NaN
2013-10-03,NaN
2013-10-04,NaN
2013-10-05,NaN
2013-10-06,NaN
2013-10-07,NaN
2013-10-08,NaN
2013-10-09,NaN
2013-10-10,NaN
2013-10-11,NaN
2013-10-12,NaN
2013-10-13,NaN
2013-10-14,NaN
2013-10-15,NaN
2013-10-16,NaN
2013-10-17,NaN
2013-10-18,NaN
2013-10-19,NaN
2013-10-20,NaN
2013-10-21,NaN
2013-10-22,NaN
2013-10-23,NaN
2013-10-24,NaN
2013-10-25,0.03197474
2013-10-26,0.042526218
2013-10-27,0.061701709
2013-10-28,0.079865048
2013-10-29,0.082610732
2013-10-30,0.071683711
2013-10-31,0.055785947
2013-11-01,0.044204199
2013-11-02,0.039727391
2013-11-03,0.036030766
2013-11-04,0.041315322
2013-11-05,0.062200077
2013-11-06,0.066752733
2013-11-07,0.059007542
2013-11-08,0.050753974
2013-11-09,0.043235044
2013-11-10,0.038249201
2013-11-11,0.032906344
2013-11-12,0.029282283
2013-11-13,0.026608341
2013-11-14,0.023870136
2013-11-15,0.021763835
2013-11-16,0.022553601
2013-11-17,0.031957544
2013-11-18,0.030684401
2013-11-19,0.028317759
2013-11-20,0.025342406
2013-11-21,0.020863617
2013-11-22,0.01712759
2013-11-23,0.01457587
2013-11-24,0.012864024
2013-11-25,0.01121354
2013-11-26,0.010061767
2013-11-27,0.009787992
2013-11-28,0.009489396
2013-11-29,0.008610409
2013-11-30,0.007841346
2013-12-01,0.007353262
2013-12-02,0.006642408
2013-12-03,0.006255393
2013-12-04,0.005851369
2013-12-05,0.005532352
2013-12-06,0.005260677
2013-12-07,0.004920599
2013-12-08,0.004594481
2013-12-09,0.004238351
2013-12-10,0.003995218
2013-12-11,0.00420226
2013-12-12,0.011813606
2013-12-13,0.024515847
2013-12-14,0.016542594
2013-12-15,0.012609413
2013-12-16,0.010684297
2013-12-17,0.009867392
2013-12-18,0.008753911
2013-12-19,0.008080997
2013-12-20,0.008971617
2013-12-21,0.008231796
2013-12-22,0.007903313
2013-12-23,0.007692408
2013-12-24,0.007605357
2013-12-25,0.012401078
2013-12-26,0.038290892
2013-12-27,0.027977896
2013-12-28,0.023079991
2013-12-29,0.034781465
2013-12-30,0.025769569
2013-12-31,0.019133354
2014-01-01,0.018304376
2014-01-02,0.017547911
2014-01-03,0.018450238
2014-01-04,0.018221346
2014-01-05,0.018017121
2014-01-06,0.017848284
